page,country,rev_id,prediction
Erika Galván Rivas,Mexico,757213944,Stub
Erika Larregui Nagel,Mexico,757213947,Stub
Erika Spezia Maldonado,Mexico,757213949,Stub
Eréndira Cova Brindis,Mexico,757213953,Stub
Esmeralda Cárdenas Sánchez,Mexico,757213955,Stub
Esthela Ponce Beltrán,Mexico,757213958,Start
Esther Angélica Martínez,Mexico,757213959,Stub
Esther Quintana Salinas,Mexico,757213960,Stub
Esveida Bravo Martínez,Mexico,757213962,Stub
Eva Contreras Sandoval,Mexico,757213971,Stub
Eva Diego Cruz,Mexico,757213973,Stub
Fany Pérez Gutiérrez,Mexico,757213980,Stub
Filomena Margaiz,Mexico,757213982,Stub
Flor Ayala,Mexico,757213983,Start
Flor Añorve Ocampo,Mexico,757213985,Stub
Flor Pedraza Aguilera,Mexico,757213988,Stub
Florentina Ocegueda,Mexico,757213992,Stub
Florentina Rosario Morales,Mexico,757213993,Stub
Francisca Elena Corrales,Mexico,757213994,Stub
Frida Rosas Peralta,Mexico,757213995,Stub
Fátima Gómez Montero,Mexico,757213999,Stub
Gabriela Medrano Galindo,Mexico,757214003,Stub
Gabriela Ortiz Martínez,Mexico,757214006,Stub
Gabriela Ruiz del Rincón,Mexico,757214008,Stub
Georgina Trujillo Zentella,Mexico,757214009,Start
Georgina Zapata Lucero,Mexico,757214011,Stub
Geraldine Ramírez Zollino,Mexico,757214016,Stub
Gerd Janne Kristoffersen,Norway,757214021,Stub
Gloria Bautista Cuevas,Mexico,757214034,Stub
Gloria Elizabeth Núñez Sánchez,Mexico,757214037,Stub
Gloria Lavara,Mexico,757214038,Stub
Gloria Luna Ruiz,Mexico,757214045,Stub
Gloria María Perroni,Mexico,757214047,Stub
Gloria Porras Valles,Mexico,757214066,Stub
Gloria Rasgado Corsi,Mexico,757214068,Stub
Gloria Romero León,Mexico,757214070,Stub
Gloria Valenzuela García,Mexico,757214071,Stub
Graciela Larios Rivas,Mexico,757214074,Stub
Graciela Saldaña Fraire,Mexico,757214079,Stub
Guadalupe Flores Salazar,Mexico,757214085,Stub
Guadalupe García Almanza,Mexico,757214086,Stub
Guadalupe García Noriega,Mexico,757214088,Stub
Guadalupe Mondragón Cobos,Mexico,757214092,Stub
Guadalupe Ortega Pacheco,Mexico,757214094,Stub
Guadalupe Pérez Domínguez,Mexico,757214097,Stub
Guadalupe Silerio,Mexico,757214099,Stub
Guadalupe Valenzuela Cabrales,Mexico,757214100,Stub
Guillermina Casique Vences,Mexico,757214104,Stub
Guillermina López Balbuena,Mexico,757214107,Stub
Hazel Suárez Bastida,Mexico,757214127,Stub
Heidi Larssen,Norway,757214132,Stub
Heidi Sørensen,Norway,757214134,Start
Hilda Anderson Nevárez,Mexico,757214147,Stub
Hilda Ceballos,Mexico,757214149,Stub
Hilda Narváez Bravo,Mexico,757214151,Stub
Hilde Magnusson Lydvo,Norway,757214160,Stub
Holly Matus Toledo,Mexico,757214166,Stub
Hortencia Enríquez Ortega,Mexico,757214168,Stub
Hortensia Aragón Castillo,Mexico,757214171,B
Ifigenia Martínez y Hernández,Mexico,757214172,Stub
Ingvild Vaggen Malvik,Norway,757214200,Stub
Irazema González Martínez,Mexico,757214204,Stub
Irene Aragón Castillo,Mexico,757214209,Stub
Iris Vianey Mendoza,Mexico,757214214,Stub
Irma Martínez Manríquez,Mexico,757214218,Stub
Irma Ortega Fajardo,Mexico,757214219,Stub
Irma Piñeyro Arias,Mexico,757214221,Stub
Isabel Allende Cano,Mexico,757214229,Stub
Ivette Ezeta Salcedo,Mexico,757214240,Stub
Ivideliza Reyes,Mexico,757214255,Stub
Ivonne Ortega Pacheco,Mexico,757214260,C
Janet González Tostado,Mexico,757214262,Stub
Jeny de los Reyes Aguilar,Mexico,757214298,Stub
Jessica Salazar Trejo,Mexico,757214301,Stub
Joann Novoa Mossberger,Mexico,757214303,Stub
Joaquina Navarrete Contreras,Mexico,757214307,Stub
Josefina García Hernández,Mexico,757214312,Stub
Josefina López Espinosa,Mexico,757214316,Stub
Josefina Rodarte,Mexico,757214318,Stub
Josefina Salinas Pérez,Mexico,757214321,Stub
Juana Barrera Amezcua,Mexico,757214327,Stub
Juana Bonilla Jaime,Mexico,757214329,Stub
Juana Leticia Herrera Ale,Mexico,757214331,Stub
Juanita Arcelia Cruz,Mexico,757214333,Stub
Juanita Santillán,Mexico,757214336,Stub
Judit Magdalena Guerrero,Mexico,757214339,Stub
Judith Vázquez Saut,Mexico,757214342,Stub
Julie Christiansen,Norway,757214343,Stub
Julieta Marín Torres,Mexico,757214345,Stub
Julisa Mejía Guardado,Mexico,757214347,Stub
Karen Quiroga Anguiano,Mexico,757214349,Stub
Karin S. Woldseth,Norway,757214371,Stub
Karin Yrvin,Norway,757214372,Stub
Karina Labastida Sotelo,Mexico,757214379,Stub
Karla González Cruz,Mexico,757214385,Stub
Karla Villarreal Benassini,Mexico,757214388,Stub
Kattia Garza Romo,Mexico,757214389,Stub
Kenia López Rabadán,Mexico,757214391,Stub
Laila Gustavsen,Norway,757214402,Stub
Landy Berzunza Novelo,Mexico,757214417,Stub
Lariza Montiel Luis,Mexico,757214420,Stub
Laura Angélica Rojas Hernández,Mexico,757214421,Stub
Laura Arizmendi Campos,Mexico,757214423,Stub
Laura Barrera Fortoul,Mexico,757214425,Stub
Laura Elena Estrada Rodríguez,Mexico,757214429,Stub
Laura García Dávila,Mexico,757214431,Stub
Laura Garza Galindo,Mexico,757214432,Stub
Laura Guadalupe Vargas Vargas,Mexico,757214434,Stub
Laura Ledesma Romo,Mexico,757214441,Stub
Laura Margarita Suárez,Mexico,757214444,Stub
Laura Martel Cantú,Mexico,757214445,Stub
Laura Piña Olmedo,Mexico,757214448,Stub
Layda Elena Sansores,Mexico,757214449,Stub
Lena Jensen,Norway,757214452,Stub
Leokadija Počikovska,Lithuania,757214459,Stub
Leonor Romero Sevilla,Mexico,757214462,Stub
Leslie Pantoja Hernández,Mexico,757214463,Stub
Leticia Calderón Ramírez,Mexico,757214468,Stub
Leticia Díaz de León Torres,Mexico,757214470,Stub
Leticia López Landero,Mexico,757214473,Stub
Leticia Orozco Torres,Mexico,757214476,Stub
Leticia Quezada Contreras,Mexico,757214480,Stub
Leticia Robles Colín,Mexico,757214481,Stub
Leticia Sosa,Mexico,757214485,Stub
Lilia Aguilar Gil,Mexico,757214486,Stub
Lilia Gutiérrez Burciaga,Mexico,757214487,Stub
Lilia Merodio Reza,Mexico,757214489,Start
Liliana Carbajal Méndez,Mexico,757214491,Stub
Lily Fabiola de la Rosa,Mexico,757214499,Stub
Lizbeth Gamboa Song,Mexico,757214519,Stub
Lizbeth García Coronado,Mexico,757214525,Stub
Lizbeth Medina Rodríguez,Mexico,757214526,Stub
Lizbeth Rosas Montero,Mexico,757214527,Stub
Lorena Beaurregard,Mexico,757214530,Stub
Lorena Méndez Denis,Mexico,757214538,Stub
Lourdes Alonso Flores,Mexico,757214548,Stub
Lourdes Gallardo Pérez,Mexico,757214550,Stub
Lourdes Quiñones Canales,Mexico,757214552,Stub
Lucila Gallegos Camarena,Mexico,757214553,Stub
Lucila Garfias,Mexico,757214554,Stub
Lucía Beristaín,Mexico,757214558,Stub
Lucía Mendoza Morales,Mexico,757214559,Stub
Ludivina Menchaca,Mexico,757214560,Stub
Luz Margarita Alba Contreras,Mexico,757214566,Stub
Luz María Beristain,Mexico,757214569,Stub
Luz Virginia Cortés,Mexico,757214575,Stub
Lydia Madero García,Mexico,757214583,Stub
Magdalena Macedo Domínguez,Mexico,757214585,Stub
Magdalena Núñez Monreal,Mexico,757214592,Stub
Marcela Cuen Garibi,Mexico,757214614,Stub
Marcela González Salas,Mexico,757214616,Stub
Marcela Torres Peimbert,Mexico,757214624,Stub
Marcela Vieyra Alamilla,Mexico,757214628,Stub
Marcelina Orta Coronado,Mexico,757214630,Stub
Maret Maripuu,Estonia,757214639,Stub
Margarita Arenas Guzmán,Mexico,757214640,Stub
Margarita Cano,Mexico,757214642,Stub
Margarita Curmina Cervera,Mexico,757214643,Stub
Margarita Gallegos Soto,Mexico,757214645,Stub
Margarita Liborio Arrazola,Mexico,757214648,Stub
Margarita Licea González,Mexico,757214651,Stub
Margarita Martínez Bernal,Mexico,757214653,Stub
Margarita Saldaña Hernández,Mexico,757214655,Stub
Margarita Villaescusa Rojo,Mexico,757214668,Stub
Mari Lund Arnem,Norway,757214669,Stub
Mariana García Rojas,Mexico,757214677,Stub
Maribel Alva Olvera,Mexico,757214715,Stub
Maribel Chollet,Mexico,757214718,Stub
Maricarmen Valls,Mexico,757214719,Stub
Maricela Serrano Hernández,Mexico,757214722,Start
Maricela Velázquez,Mexico,757214726,Stub
Maricruz Montelongo Gordillo,Mexico,757214731,Stub
Marina Garay Cabada,Mexico,757214736,Stub
Marisol Mora Cuevas,Mexico,757214740,Stub
Marisol Vargas Bárcena,Mexico,757214742,Start
Martha Angélica Bernardino Rojas,Mexico,757214759,Stub
Martha Angélica Romo Jiménez,Mexico,757214768,Stub
Martha Berenice Álvarez Tovar,Mexico,757214769,Stub
Martha Cecilia Díaz Gordillo,Mexico,757214772,Stub
Martha García Müller,Mexico,757214777,Stub
Martha Gutiérrez Manrique,Mexico,757214778,Stub
Martha Jiménez Oropeza,Mexico,757214783,Stub
Martha Leticia Rivera Cisneros,Mexico,757214784,Stub
Martha Partida Guzmán,Mexico,757214787,Stub
Martha Tamayo,Mexico,757214795,Stub
Martha Vital,Mexico,757214798,Stub
Mary Telma Guajardo,Mexico,757216777,Stub
María Angélica Magaña Zepeda,Mexico,757216784,Stub
María Araceli Vázquez Camacho,Mexico,757216789,Stub
María Argüelles Arellano,Mexico,757216791,Stub
María Benítez Navarrete,Mexico,757216792,Stub
María Cabrera Muñoz,Mexico,757216794,Stub
María Ceseñas Chapa,Mexico,757216798,Stub
María Concepción Navarrete,Mexico,757216803,Stub
María Dolores González Sánchez,Mexico,757216810,Stub
María Dolores Ortega Tzitzihua,Mexico,757216816,Stub
María Díaz de León,Mexico,757216828,Stub
María Elena Barrera,Mexico,757216831,Stub
María Elena Cano Ayala,Mexico,757216832,Stub
María Elena Noriega Blanco,Mexico,757216834,Stub
María Elena Pérez de Tejada,Mexico,757216837,Stub
María Elena Torres Baltazar,Mexico,757216839,Stub
María Elena Zamora,Mexico,757216842,Stub
María Elena Álvarez Bernal,Mexico,757216844,Stub
María Elia Cabañas,Mexico,757216847,Stub
María Esperanza Morelos Borja,Mexico,757216851,Stub
María Estela de la Fuente,Mexico,757216852,Stub
María Ester Alonzo Morales,Mexico,757216855,Stub
María Esther Jiménez Ramos,Mexico,757216861,Stub
María Esther Terán Velázquez,Mexico,757216863,Stub
María Eugenia Jiménez Valenzuela,Mexico,757216866,Stub
María Fernanda Romero Lozano,Mexico,757216871,Stub
María Fernanda Schroeder,Mexico,757216873,Stub
María Fernández Ugarte,Mexico,757216876,Stub
María Gabriela Banda,Mexico,757216877,Stub
María Gabriela González Martínez,Mexico,757216880,Stub
María García Olmedo,Mexico,757216881,Stub
María García Quiroz,Mexico,757216884,Stub
María García Romero,Mexico,757216886,Stub
María González Alvarado,Mexico,757216888,Stub
María Guadalupe Moctezuma,Mexico,757216890,Stub
María Guadalupe Mondragón,Mexico,757216891,Stub
María Guadalupe Romero Castillo,Mexico,757216895,Stub
María Guadalupe Salazar,Mexico,757216897,Stub
María Guadalupe Sánchez Santiago,Mexico,757216899,Stub
María Guadalupe Velázquez Díaz,Mexico,757216903,Stub
María Guzmán Lozano,Mexico,757216907,Stub
María Gómez Villalovos,Mexico,757216909,Stub
María Hilaria Domínguez,Mexico,757216911,Stub
María Isabel Maya Pineda,Mexico,757216912,Start
María Isabel Merlo Talavera,Mexico,757216914,Stub
María Isabel Pérez Santos,Mexico,757216919,Stub
María Isabel Reyes García,Mexico,757216920,Stub
María Izaguirre Francos,Mexico,757216923,Stub
María Jiménez del Castillo,Mexico,757216926,Stub
María Leticia Jasso,Mexico,757216928,Stub
María Leticia Mendoza Curiel,Mexico,757216930,Stub
María Lucero Saldaña,Mexico,757216931,Stub
María Martínez Santillán,Mexico,757216933,Stub
María Mendoza Sánchez,Mexico,757216938,Stub
María Pariente Gavito,Mexico,757216944,Stub
María Parra Becerra,Mexico,757216945,Stub
María Patricia Franco Cruz,Mexico,757216947,Stub
María Pineda Gochi,Mexico,757216948,Stub
María Ramírez Diez,Mexico,757216952,Stub
María Reynoso Femat,Mexico,757216953,Stub
María Rodríguez Preciado,Mexico,757216956,Stub
María Serrano Serrano,Mexico,757216968,Stub
María Teodora Arrieta,Mexico,757216972,Stub
María Teresa Ochoa Mejía,Mexico,757216980,Stub
María Teresa Álvarez Vázquez,Mexico,757216984,Stub
María Torre Canales,Mexico,757216987,Stub
María Urciel Castañeda,Mexico,757216990,Stub
María Verónica Martínez Espinoza,Mexico,757216991,Stub
María Victoria Gutiérrez Lagunes,Mexico,757216994,Stub
María Villaseñor Vargas,Mexico,757216997,Stub
María Yolanda Valencia Vales,Mexico,757216998,Stub
María de Jesús Huerta,Mexico,757217002,Stub
María de Lourdes Amaya,Mexico,757217005,Stub
María de las Nieves García,Mexico,757217007,Stub
María de los Ángeles Moreno,Mexico,757217009,Start
María del Carmen Ordaz,Mexico,757217016,Stub
María del Carmen Parra Jiménez,Mexico,757217018,Stub
María del Carmen Ramírez,Mexico,757217026,Stub
María del Carmen Salvatori Bronca,Mexico,757217028,Stub
María del Rosario Merlín,Mexico,757217029,Stub
María Ávila Serna,Mexico,757217032,Start
May Hansen,Norway,757217037,Stub
Mayra Gisela Peñuelas Acuña,Mexico,757217039,Stub
Mayra Karina Robles Aguirre,Mexico,757217040,Stub
Mayra Valdés González,Mexico,757217041,Stub
Mely Romero Celis,Mexico,757217042,Stub
Mercedes Guillén Vicente,Mexico,757217051,Stub
Mercedes Morales Utrera,Mexico,757217054,Stub
Merilyn Gómez Pozos,Mexico,757217059,Stub
Mette Hanekamhaug,Norway,757217060,C
Micaela Aguilar González,Mexico,757217064,Stub
Minerva Hernández Ramos,Mexico,757217070,Start
Miriam Cárdenas Cantú,Mexico,757217072,Stub
Miriam Cárdenas de la Torre,Mexico,757217073,Stub
Mirna Camacho Pedrero,Mexico,757217074,Stub
Mirna Esmeralda Hernández,Mexico,757217077,Stub
Mirna Rincón Vargas,Mexico,757217081,Stub
Mirna Velázquez López,Mexico,757217083,Stub
Mónica Arriola Gordillo,Mexico,757217086,Stub
Mónica Fernández Balboa,Mexico,757217087,Stub
Nancy González Ulloa,Mexico,757217091,Stub
Narcedalia Ramírez,Mexico,757217094,Stub
Nelly Campos,Mexico,757217095,Stub
Nelly González Aguilar,Mexico,757217096,Stub
Nelly Hurtado Pérez,Mexico,757217100,Stub
Nelly Márquez Zapata,Mexico,757217101,Stub
Nelly Vargas,Mexico,757217102,Stub
Nohelia Ibarra Fránquez,Mexico,757217108,Stub
Nohelia Linares González,Mexico,757217109,Stub
Norberta Díaz Azuara,Mexico,757217111,Stub
Norma Leticia Salazar Vázquez,Mexico,757217112,Stub
Norma Ponce Orozco,Mexico,757217114,Stub
Norma Reyes Terán,Mexico,757217116,Stub
Nuvia Mayorga Delgado,Mexico,757217128,Stub
Obdulia Torres Abarca,Mexico,757217129,Stub
Ofelia Malcos Amaro,Mexico,757217132,Stub
Olga Luz Espinosa,Mexico,757217135,Stub
Olivia Guillén Padilla,Mexico,757217139,Stub
Olivia Utrilla Nieto,Mexico,757217140,Stub
Omeheira López Reyna,Mexico,757217142,Stub
Oralia López Hernández,Mexico,757217143,Stub
Patricia Aguilar García,Mexico,757217144,Stub
Patricia Chozas y Chozas,Mexico,757217152,Stub
Patricia Jiménez Case,Mexico,757217155,Stub
Patricia Lugo Barriga,Mexico,757217157,Stub
Patricia Peña Recio,Mexico,757217160,Stub
Patricia Retamoza,Mexico,757217163,Stub
Patricia Villanueva Abraján,Mexico,757217165,Stub
Paula Hernández Olmos,Mexico,757217171,Stub
Paulina Alejandra Del Moral,Mexico,757217172,Stub
Paz Gutiérrez Cortina,Mexico,757217173,Stub
Perla López Loyo,Mexico,757217176,Stub
Petra Barrera Barrera,Mexico,757217178,Stub
Pilar Guerrero Rubio,Mexico,757217180,Stub
Prudencia Juárez Capilla,Mexico,757217182,Stub
Purificación Carpinteyro Calderón,Mexico,757217196,Stub
Rannveig Andresen,Norway,757217203,Stub
Raquel Jiménez Cerrillo,Mexico,757217211,Stub
Rebeca Terán Guevara,Mexico,757217217,Stub
Regina Vázquez Saut,Mexico,757217219,Stub
Reyna Tirado Gálvez,Mexico,757217221,Stub
Rita María Esquivel Reyes,Mexico,757217241,Stub
Rocío Abreu Artiñano,Mexico,757217247,Stub
Rocío Morgan Franco,Mexico,757217250,Stub
Rocío Reza Gallegos,Mexico,757217255,Stub
Rodolfina Gatica Garzón,Mexico,757217257,Stub
Rosa Adriana Díaz,Mexico,757217264,Stub
Rosa Elba Pérez,Mexico,757217267,Stub
Rosa Elena Baduy Isaac,Mexico,757217268,Stub
Rosa Elena Galván Valles,Mexico,757217269,Stub
Rosa Elia Romero Guzmán,Mexico,757217271,Stub
Rosa Elva Soriano Sánchez,Mexico,757217277,Stub
Rosa María de la Garza,Mexico,757217282,Stub
Rosalba Gualito Castañeda,Mexico,757217284,Stub
Rosalina Mazari,Mexico,757217287,Stub
Rosalinda López Hernández,Mexico,757217289,Stub
Rosario Brindis Álvarez,Mexico,757217291,Stub
Rosario Green,Mexico,757217292,Start
Rosario Ortiz Yeladaqui,Mexico,757217295,Stub
Rosaura Denegre Vaught,Mexico,757217299,Stub
Roxana Luna Porquillo,Mexico,757217300,Stub
Rubí Laura López Silva,Mexico,757217304,Stub
Ruth Lugo,Mexico,757217305,Stub
Ruth Zavaleta,Mexico,757217307,Start
Saera Khan,Norway,757217309,Stub
Salma Meza Manjarrez,Mexico,757217315,Stub
Sandra Méndez Hernández,Mexico,757217317,Start
Sandra Ugalde Basaldúa,Mexico,757217322,Stub
Sara Guadalupe Figueroa Canedo,Mexico,757217324,Stub
Sara Montiel Solís,Mexico,757217332,Stub
Sara Ruiz Chávez,Mexico,757217333,Start
Sara Shej,Mexico,757217336,Stub
Silja Ekeland Bjørkly,Norway,757217347,Stub
Silva Bendrāte,Latvia,757217352,Stub
Silvia Fernández Martínez,Mexico,757217355,Stub
Silvia Guadalupe Garza,Mexico,757217359,Stub
Silvia K. Kosmo,Norway,757217364,Stub
Silvia Luna Rodríguez,Mexico,757217366,Stub
Silvia López Scoffie,Mexico,757217372,Stub
Silvia Monge Villalobos,Mexico,757217378,Stub
Silvia Márquez Velasco,Mexico,757217388,Stub
Silvia Oliva Fragoso,Mexico,757217391,Stub
Silvia Puppo Gastélum,Mexico,757217394,Stub
Silvia Pérez Ceballos,Mexico,757217396,Stub
Silvia Álvarez Bruneliere,Mexico,757217402,Stub
Socorro Quintana León,Mexico,757217422,Stub
Soledad Limas Frescas,Mexico,757217443,Stub
Soledad López Torres,Mexico,757217447,Stub
Sonia Catalina Mercado,Mexico,757217455,Stub
Sonia Rincón Chanona,Mexico,757217459,Stub
Sonia del Villar Sosa,Mexico,757217463,Stub
Soraya Córdova,Mexico,757217472,Stub
Sue Ellen Bernal,Mexico,757217479,Stub
Susana Hurtado Vallejo,Mexico,757217488,Stub
Susana Monreal Ávila,Mexico,757217492,Stub
Susana Stephenson,Mexico,757217498,Stub
Tania Morgan Navarrete,Mexico,757217506,Stub
Tanya Rellstab Carreto,Mexico,757217508,Stub
Teresa Alcocer y Gasca,Mexico,757217510,Stub
Teresa Incháustegui,Mexico,757217513,Stub
Teresa Ortuño Gurza,Mexico,757217520,Stub
Teresa Reyes Sahagún,Mexico,757217523,Stub
Teresita de Jesús Borges,Mexico,757217526,Stub
Tomasa Vives,Mexico,757217528,Stub
Valentina Batres Guadarrama,Mexico,757217551,Stub
Vera Lysklætt,Norway,757217561,Stub
Verónica Carreón Cervantes,Mexico,757217564,Stub
Verónica García Reyes,Mexico,757217567,Stub
Verónica Juárez Piña,Mexico,757217570,Stub
Verónica Sada Pérez,Mexico,757217572,Stub
Verónica Velasco,Mexico,757217575,Stub
Vigdis Giltun,Norway,757217580,Stub
Vilija Aleknaitė-Abramikienė,Lithuania,757217591,Stub
Violeta Avilés Álvarez,Mexico,757217595,Stub
Violeta Lagunes Viveros,Mexico,757217596,Stub
Viviana Agundiz,Mexico,757217597,Stub
Wendy Rodríguez Galarza,Mexico,757217602,Stub
Xóchitl Montes de Oca,Mexico,757217605,Stub
Yadhira Yvette Tamayo Herrera,Mexico,757217607,Stub
Yary Gebhardt,Mexico,757217609,Stub
Yazmín Copete,Mexico,757217610,Stub
Yeidckol Polevnsky Gurwitz,Mexico,757217615,Start
Yesenia Nolasco Ramírez,Mexico,757217616,Stub
Yolanda Garmendia Hernández,Mexico,757217620,Stub
Yolanda González Hernández,Mexico,757217623,Stub
Yolanda Montalvo López,Mexico,757217625,Stub
Yolanda Rodríguez Ramírez,Mexico,757217632,Stub
Yulma Rocha Aguilar,Mexico,757217641,Start
Zinthia Benavides,Mexico,757217643,Stub
Zita Beatriz Pazzi,Mexico,757217647,Stub
Zuleyma Huidobro,Mexico,757217649,Stub
Åsa Elvik,Norway,757217652,Stub
Fanny Jensen,Denmark,757251965,Stub
Huang Fu-yuan,Taiwan,757254035,Stub
Thierry Santa,France,757262451,Stub
Teófila Martínez,Spain,757269661,Stub
Farah Ali Jama,Somalia,757274310,Start
Pedro L. Marín,Spain,757280331,Start
Farid Babayev,Russia,757287913,Stub
Farkhonda Hassan,Egypt,757292312,Start
Buddha Sayami,Nepal,757298396,Stub
Farmulla Mansur,Nepal,757308555,Stub
Walter Powdrell,New Zealand,757314049,Stub
George Pearce (New Zealand politician),New Zealand,757314067,Stub
José Fogaça,Brazil,757315112,Stub
Charles Fiterman,France,757315434,Stub
Hervé Jamar,Belgium,757316630,Stub
Ali Bach Hamba,Tunisia,757318872,Start
Vicente Millora,Philippines,757320449,Stub
Miró Ruiz,Peru,757320661,Stub
George Drought Warburton,Ireland,757329187,Start
Rebeka Szabó,Hungary,757334947,Start
Ann Henderson (politician),Australia,757336130,Start
Božena Viková-Kunětická,Czech Republic,757336278,Stub
Bridget Redmond,Ireland,757336283,Stub
Brigid Hogan-O'Higgins,Ireland,757336289,Start
Ebun Oyagbola,Nigeria,757336511,Stub
Esther Lipman,Australia,757336657,Start
Gertrud Bäumer,Germany,757336804,Start
Gertrude Melville,Australia,757336805,Start
Grace Vaughan,Australia,757336842,Stub
Heidrun Bluhm,Germany,757336855,Stub
Helena Marfell,Australia,757336893,Start
Joan Burke,Ireland,757337023,Stub
Lia Looveer,Australia,757337226,C
Lynda Heaven,Australia,757337300,Start
Marie Tehan,Australia,757337468,Start
Mary Reynolds,Ireland,757337710,Stub
Mary Ryan (Irish politician),Ireland,757337732,Stub
Pam Buchanan,Australia,757338080,Start
Ruby Hutchison,Australia,757338271,Stub
Sheila Galvin,Ireland,757338359,Stub
Tejumade Alakija,Nigeria,757338458,Stub
Virginia Chadwick,Australia,757338585,C
Wilhelmine Kähler,Germany,757338642,Stub
Wretha Hanson,United States,757338650,Stub
Aili Siiskonen,Finland,757340358,Stub
Alma Jokinen,Finland,757340390,Stub
Anita Fernandini de Naranjo,Peru,757340408,Stub
Anna Haverinen,Finland,757340434,Stub
Anna Sofie Herland,Norway,757340491,Stub
Annemiek Padt-Jansen,Netherlands,757340518,Stub
Astrid Gunhilde Karlsen,Norway,757340544,Stub
Bertha Bele,Norway,757340617,Stub
Birutė Nedzinskienė,Lithuania,757340648,Stub
Consuelo Salgar,Colombia,757340746,Start
Dagmar Maalstad,Norway,757340757,Stub
Dagmar Sandvig,Norway,757340762,Stub
Elise Fliflet,Norway,757340871,Stub
Ellen Melville,New Zealand,757340911,Start
Esther Shiner,Canada,757340941,B
Gerd Olaug Berger,Norway,757341065,Stub
Gerd Vollum,Norway,757341067,Stub
Hedi Lang,Switzerland,757341135,Stub
Hege Nerland,Norway,757341138,Stub
Hilda Herrala,Finland,757341179,Stub
Hilda Sofie Kindt,Norway,757341194,Stub
Hildur Os,Norway,757341206,Stub
Hilma Valjakka,Finland,757341214,Stub
Ingebjørg Karmhus,Norway,757341244,Stub
Ingebjørg Øisang,Norway,757341252,Stub
Ingvarda Røberg,Norway,757341266,Stub
Fatbardh Kadilli,Albania,757341340,Stub
Jeanne Driessen,Belgium,757341346,Stub
Jenny Søyseth,Norway,757341357,Stub
Kari Schanke,Norway,757341420,Stub
Karin Adelmund,Netherlands,757341423,Start
Kirsten Brunvoll,Norway,757341442,Start
Kitty Petrine Fredriksen,Norway,757341450,Stub
Krista Kilvet,Estonia,757341455,Stub
Laura Brander-Wallin,Finland,757341461,Stub
Laura Rodríguez,Chile,757341466,Stub
Lempi Tuomi,Finland,757341468,Stub
Maria Clara Lobregat,Philippines,757341676,Start
Maria Desylla-Kapodistria,Greece,757341681,Stub
Martha Schrøder,Norway,757341745,Start
Martta Salmela-Järvinen,Finland,757341754,Stub
María Regla Prío,Cuba,757341796,Stub
Michiko Fujiwara,Japan,757341812,Stub
Mimmi Haapasalo,Finland,757341816,Stub
Nina Eik-Nes,Norway,757341852,Stub
Olga Mistereggen,Norway,757341880,Stub
Paula Nordhus,Norway,757341907,Stub
Ragna Johanne Forsberg,Norway,757341934,Stub
Ragnhild Hartmann Varmbo,Norway,757341937,Stub
Ria Beckers,Netherlands,757341948,Start
Roza Pomerantz-Meltzer,Poland,757341985,Stub
Signe Weisert,Norway,757342037,Stub
Susana Manzanares,Mexico,757342095,Stub
Sylvi Siltanen,Finland,757342110,Stub
Sylvi-Kyllikki Kilpi,Finland,757342113,Stub
Thora Grahl-Nielsen,Norway,757342130,Stub
Tora Øyna,Norway,757342148,Stub
Tove Billington Bye,Norway,757342154,Stub
Åse Fosli,Norway,757342201,Stub
Åslaug Linge Sunde,Norway,757342205,Stub
Anders Hornslien,Norway,757342905,Stub
Anne-Olaug Ingeborgrud,Norway,757342949,Stub
Anneliese Dørum,Norway,757342950,Stub
Astrid Murberg Martinsen,Norway,757343090,Stub
Astrid Skare,Norway,757343094,Stub
Aud Gustad,Norway,757343107,Start
Borghild Bondevik Haga,Norway,757343196,Stub
Akmal Cheema,Pakistan,757343528,Stub
Chaudhry Amir Hussain,Pakistan,757343549,Stub
Wasi Zafar,Pakistan,757343557,Stub
Sergey Antufyev,Russia,757343683,Stub
Otari Arshba,Russia,757343684,Stub
Vyacheslav Dudka,Russia,757343703,Stub
Nikolay Denin,Russia,757343704,Stub
Valery Kan,Russia,757343720,Start
Pavel Ipatov,Russia,757343725,Start
Alexander Nikolayevich Mikhaylov,Russia,757343739,Stub
Sergey Katanandov,Russia,757343776,Stub
Roman Kopin,Russia,757343810,Start
Mikhail Ignatyev (politician),Russia,757343815,Stub
Taymuraz Mamsurov,Ossetian,757343822,Start
Aleksandr Skorobogatko,Russia,757343829,Stub
Boris Zolotaryov,Russia,757343832,Stub
Eva R. Finstad,Norway,757343947,Stub
Gunn Vigdis Olsen-Hagen,Norway,757344143,Stub
Guri Johannessen,Norway,757344251,Stub
Mama Tere Strickland,New Zealand,757344302,Start
Konstantin Ilkovsky,Russia,757344569,Stub
Hartvig Caspar Christie,Norway,757344647,Stub
Inger Lise Gjørv,Norway,757344808,Start
Inger-Marie Ytterhorn,Norway,757344816,Stub
Jan Helge Jansen,Norway,757344915,Stub
Giuseppe Ayala,Italy,757344991,Stub
Franco Bassanini,Italy,757344999,Start
Massimo Cialente,Italy,757345012,Stub
Giuseppe Civati,Italy,757345016,Stub
Carlo Carli (Italian politician),Italy,757345023,Stub
Francesco Giacobbe,Italy,757345034,Stub
Vito De Filippo,Italy,757345039,Stub
Corradino Mineo,Italy,757345047,Stub
Paolo Di Laura Frattura,Italy,757345048,Stub
Luigi Lusi,Italy,757345071,Stub
